id_solicitud,fecha_solicitud,tipo_producto,id_cliente,monto_o_limite,moneda,pais,flag_prioritario,flag_digital
SYNTH-6469,2025-06-10,PRESTAMO  ,CLI-6568,11570,GBP,brasil,N,S
SYNTH-7053,10-09-2025,PRESTAMO  ,CLI-7152,8392,,MEXICO,S,N
SYNTH-1774,30/12/2025,SEGURO,CLI-1873,202145,ARS,Mexico,N,S
SYNTH-6662,20-06-2025,seguro,CLI-6761,376059, ARS,MEXICO,S,N
SYNTH-7209,05-12-2025, Servicio,CLI-7308,22387,ars,MEXICO,S,S
SYNTH-7756,2025-09-05,tarjeta,CLI-7855,0,usd ,MEXICO,N,N
SYNTH-5236,15-03-2025,tarjeta,CLI-5335,1000000000, USD ,brasil,S,N
SYNTH-1611,18/07/2025,SERVICIO,CLI-1710,259025561,ARS,Mexico,N,S
SYNTH-1304,28/06/2025,CUENTA,CLI-1403,397649084,EUR,Peru,N,N
SYNTH-8465,22/11/2025,prestamo personal,CLI-8564,69924,USD,republica argentina,S,N
SYNTH-1587,05/04/2025,SEGURO,CLI-1686,790041283,ARS,Brasil,S,S
SYNTH-5021,20-06-2025,PRESTAMO  ,CLI-5120,165439672,usd ,colombia  ,S,S
SYNTH-5192,05-12-2025, Servicio,CLI-5291,341491,GBP, CHILE ,S,S
SYNTH-2693,15/03/2025,CUENTA,CLI-2792,677624901,ARS,Paraguay,N,N
SYNTH-7358,2025-06-10,tarjeta,CLI-7457,395255, USD ,  Argentina,N,N
SYNTH-4257,01/01/2025,CUENTA,CLI-4356,705044635,EUR,Brasil,N,N
SYNTH-9631,30/12/2025,SERVICIO,CLI-9730,47151,divisa extranjera,Argentina,S,N
SYNTH-5181,2025-01-15, Servicio,CLI-5280,-500,usd ,colombia  ,S,N
SYNTH-0006,15/03/2025,CUENTA,CLI-105,169485,ARS,Colombia,S,N
SYNTH-6788,20-06-2025,tarjeta,CLI-6887,74076143,ars,MEXICO,S,S
SYNTH-9955,15/03/2025,PRESTAMO,CLI-10054,248662,pesos argentinos,Peru,N,N
SYNTH-7969,10-09-2025,tarjeta,CLI-8068,338834198,Eur,  Argentina,N,N
SYNTH-8413,18/07/2025,prestamo personal,CLI-8512,17031,EUR,Mexico,S,N
SYNTH-4833,30/12/2025,CUENTA,CLI-4932,87834,USD,Paraguay,N,N
SYNTH-9037,Q1 2025,SEGURO,CLI-9136,590448516,EUR,Brasil,N,N
SYNTH-3095,15/03/2025,SERVICIO,CLI-3194,497568,USD,Uruguay,S,S
SYNTH-8774,28/06/2025,tarjeta credito,CLI-8873,859324144,EUR,Argentina,N,S
SYNTH-0266,10/09/2025,SEGURO,CLI-365,65407818,EUR,Peru,N,S
SYNTH-3544,05/04/2025,CUENTA,CLI-3643,492178788,ARS,Paraguay,N,S
SYNTH-6160,20-06-2025,PRESTAMO  ,CLI-6259,22528, ARS,MEXICO,S,S
SYNTH-8958,15/03/2025,SEGURO,CLI-9057,656681718,divisa extranjera,Brasil,S,S
SYNTH-2057,28/06/2025,SERVICIO,CLI-2156,35757,ARS,Mexico,N,N
SYNTH-5675,32/13/2025, Servicio,CLI-5774,12454,ars,  Argentina,S,N
SYNTH-1120,18/07/2025,SERVICIO,CLI-1219,114327189,EUR,Brasil,N,S
SYNTH-3037,30/12/2025,SEGURO,CLI-3136,84970579,EUR,Brasil,S,S
SYNTH-5947,10-09-2025,  CUENTA ,CLI-6046,0, USD , CHILE ,S,N
SYNTH-3357,18/07/2025,TARJETA,CLI-3456,137972,EUR,Chile,S,N
SYNTH-5304,05-12-2025, Servicio,CLI-5403,377541689, ARS,  Argentina,S,S
