id_solicitud,fecha_solicitud,tipo_producto,id_cliente,monto_o_limite,moneda,pais,flag_prioritario,flag_digital
SYNTH-0540,01/01/2025,CUENTA,CLI-639,299887,EUR,Peru,S,S
SYNTH-0060,05/04/2025,TARJETA,CLI-159,454972,USD,Peru,N,N
SYNTH-0274,15/03/2025,CUENTA,CLI-373,157484614,USD,Uruguay,N,N
SYNTH-0411,30/12/2025,CUENTA,CLI-510,306637,USD,Mexico,S,S
SYNTH-0293,28/06/2025,SEGURO,CLI-392,435347,USD,Argentina,S,S
SYNTH-0692,2025-01-15,seguro,CLI-791,322841, USD ,MEXICO,N,S
SYNTH-0630,30/12/2025,SERVICIO,CLI-729,486373,EUR,Uruguay,S,S
SYNTH-0085,18/07/2025,CUENTA,CLI-184,323164,USD,Peru,S,S
SYNTH-0006,30/12/2025,PRESTAMO,CLI-105,185604,EUR,Peru,S,S
SYNTH-0065,30/12/2025,SEGURO,CLI-164,376541,ARS,Colombia,S,S
SYNTH-0492,05/04/2025,SERVICIO,CLI-591,252412,EUR,Paraguay,N,S
SYNTH-0066,28/06/2025,SERVICIO,CLI-165,222089096,EUR,Chile,N,S
SYNTH-0696,05-12-2025,tarjeta,CLI-795,438887, USD ,  uruguay,S,N
SYNTH-0476,05/04/2025,SEGURO,CLI-575,33803,USD,Brasil,N,S
SYNTH-0189,01/01/2025,SERVICIO,CLI-288,175667903,ARS,Peru,S,N
SYNTH-0653,2025-01-15,PRESTAMO  ,CLI-752,-1,usd ,  uruguay,S,S
SYNTH-0884,15-03-2025,,CLI-983,340970, ARS,  Argentina,S,S
SYNTH-0644,22/11/2025,CUENTA,CLI-743,257188620,EUR,Uruguay,S,N
SYNTH-0817,20-06-2025,seguro,CLI-916,719590945,GBP,  Argentina,S,N
SYNTH-0986,01/01/2025,TARJETA,CLI-1085,159430,EUR,brasilia brasil,N,S
SYNTH-0165,30/12/2025,TARJETA,CLI-264,15458,USD,Paraguay,N,N
SYNTH-0275,01/01/2025,SERVICIO,CLI-374,878935119,EUR,Colombia,S,S
SYNTH-0883,20-06-2025,tarjeta,CLI-982,291009,ars,MEXICO,N,S
SYNTH-0297,10/09/2025,SERVICIO,CLI-396,150235,EUR,Paraguay,N,S
SYNTH-0526,10/09/2025,CUENTA,CLI-625,37755,EUR,Paraguay,N,S
SYNTH-0037,15/03/2025,TARJETA,CLI-136,41564,ARS,Uruguay,N,S
SYNTH-0317,01/01/2025,SERVICIO,CLI-416,400438,EUR,Brasil,N,S
SYNTH-0086,28/06/2025,SEGURO,CLI-185,238217,EUR,Argentina,N,N
SYNTH-0344,15/03/2025,CUENTA,CLI-443,338568,USD,Uruguay,N,S
SYNTH-0453,18/07/2025,PRESTAMO,CLI-552,211849,USD,Colombia,N,S
SYNTH-0284,18/07/2025,SEGURO,CLI-383,531011199,USD,Argentina,N,S
SYNTH-0469,01/01/2025,CUENTA,CLI-568,654578715,USD,Brasil,N,N
SYNTH-0283,10/09/2025,SEGURO,CLI-382,12434619,ARS,Peru,N,S
SYNTH-0806,15-03-2025,PRESTAMO  ,CLI-905,1255, ARS, CHILE ,N,N
SYNTH-0342,15/03/2025,CUENTA,CLI-441,522705237,ARS,Uruguay,N,S
SYNTH-0889,05-12-2025,PRESTAMO  ,CLI-988,369150,Eur,colombia  ,N,S
SYNTH-0750,2025-06-10,seguro,CLI-849,272821,GBP,colombia  ,N,N
SYNTH-0368,10/09/2025,PRESTAMO,CLI-467,200618,USD,Paraguay,S,N
SYNTH-0033,15/03/2025,SEGURO,CLI-132,499546,USD,Argentina,N,N
SYNTH-0262,22/11/2025,SERVICIO,CLI-361,32130,ARS,Paraguay,S,S
SYNTH-0891,15-03-2025,  CUENTA ,CLI-990,459264690, ARS,brasil,S,N
SYNTH-0271,30/12/2025,CUENTA,CLI-370,9928,ARS,Mexico,S,N
SYNTH-0227,30/12/2025,CUENTA,CLI-326,15419,ARS,Mexico,N,S
SYNTH-0535,18/07/2025,TARJETA,CLI-634,226480,USD,Mexico,N,S
SYNTH-0141,18/07/2025,CUENTA,CLI-240,895962353,EUR,Argentina,N,N
SYNTH-0735,2025-01-15,PRESTAMO  ,CLI-834,7855,Eur,  Argentina,N,N
SYNTH-0895,2025-09-05,tarjeta,CLI-994,450048, USD ,  Argentina,N,N
SYNTH-0845,05-12-2025,  CUENTA ,CLI-944,201260, USD ,colombia  ,N,N
SYNTH-0415,05/04/2025,CUENTA,CLI-514,491983,EUR,Chile,S,S
SYNTH-0543,22/11/2025,SEGURO,CLI-642,839777694,ARS,Peru,S,S
SYNTH-0451,05/04/2025,PRESTAMO,CLI-550,43518,USD,Brasil,S,S
SYNTH-0036,15/03/2025,SERVICIO,CLI-135,28304,EUR,Uruguay,S,S
SYNTH-0351,22/11/2025,CUENTA,CLI-450,31156,USD,Chile,N,N
SYNTH-0232,18/07/2025,CUENTA,CLI-331,387919220,EUR,Mexico,N,S
SYNTH-0045,05/04/2025,SEGURO,CLI-144,47029,EUR,Chile,S,N
SYNTH-0650,22/11/2025,SERVICIO,CLI-749,9005,EUR,Argentina,S,S
SYNTH-0209,15/03/2025,TARJETA,CLI-308,420619126,ARS,Uruguay,N,S
SYNTH-0788,2025-06-10,tarjeta,CLI-887,-1, ARS,colombia  ,S,S
SYNTH-0430,05/04/2025,SERVICIO,CLI-529,48414552,USD,Uruguay,N,S
SYNTH-0635,10/09/2025,SERVICIO,CLI-734,28906,ARS,Argentina,S,N
SYNTH-0248,30/12/2025,PRESTAMO,CLI-347,723769787,EUR,Paraguay,S,S
SYNTH-0925,15-03-2025, Servicio,CLI-1024,17241,ars,brasil,S,N
SYNTH-0559,28/06/2025,CUENTA,CLI-658,70219,USD,Paraguay,N,N
SYNTH-0829,20-06-2025,  CUENTA ,CLI-928,99999999999,Eur,brasil,S,S
SYNTH-0914,10-09-2025,seguro,CLI-1013,9599, ARS,colombia  ,N,S
SYNTH-0778,2025-09-05,tarjeta,CLI-877,149903,,  Argentina,N,N
SYNTH-0711,2025-03-20,tarjeta,CLI-810,789767059,ars,colombia  ,S,N
SYNTH-0827,2025-09-05,tarjeta,,1564,Eur,  uruguay,N,S
SYNTH-0159,30/12/2025,PRESTAMO,CLI-258,983385907,USD,Brasil,N,S
SYNTH-0510,30/12/2025,SERVICIO,CLI-609,593350481,USD,Chile,S,N
SYNTH-0315,10/09/2025,SEGURO,CLI-414,214625,ARS,Argentina,N,N
SYNTH-0549,01/01/2025,SEGURO,CLI-648,687446807,ARS,Colombia,S,N
SYNTH-0801,20-06-2025,tarjeta,CLI-900,112487,GBP,  uruguay,S,S
SYNTH-0664,32/13/2025,PRESTAMO  ,CLI-763,31927,Eur,colombia  ,N,S
SYNTH-0277,28/06/2025,TARJETA,CLI-376,287625193,EUR,Colombia,S,S
SYNTH-0373,10/09/2025,SERVICIO,CLI-472,479180,USD,Paraguay,S,S
SYNTH-0119,05/04/2025,SEGURO,CLI-218,20526,EUR,Mexico,N,N
SYNTH-0470,30/12/2025,SEGURO,CLI-569,78561,ARS,Brasil,S,S
SYNTH-0741,20-06-2025,  CUENTA ,CLI-840,36236, USD ,colombia  ,S,S
SYNTH-0633,28/06/2025,SERVICIO,CLI-732,4889,USD,Argentina,N,S
SYNTH-0514,30/12/2025,PRESTAMO,CLI-613,65029,USD,Mexico,S,S
SYNTH-0850,32/13/2025,  CUENTA ,CLI-949,253991125,ars,  Argentina,S,S
SYNTH-0114,05/04/2025,TARJETA,CLI-213,7662,ARS,Colombia,N,N
SYNTH-0350,01/01/2025,TARJETA,CLI-449,429716837,USD,Chile,S,S
SYNTH-0698,2025-06-10,  CUENTA ,CLI-797,267726,GBP,  uruguay,S,N
